Internal Tracking Number,Synonym,Name Quality,Substance Name,Registry Name,CAS,TSN,EPA ID,Molecular Formula,Active Status
94219,"2-Methoxy-3,6-dichlorobenzoic acid",Valid,"Benzoic acid, 3,6-dichloro-2-methoxy-",Dicamba,1918-00-9,,,C8H6Cl2O3,Active
94219,Dicamba,Valid,"Benzoic acid, 3,6-dichloro-2-methoxy-",Dicamba,1918-00-9,,,C8H6Cl2O3,Active
93559,Ammonium benzoate,Valid,"Benzoic acid, ammonium salt (1:1)",Ammonium benzoate,1863-63-4,,,C7H6O2.H3N,Active
19455,Phenyl cyanide,Valid,Benzonitrile,Benzonitrile,100-47-0,,,C7H5N,Active
19455,Benzonitrile,Valid,Benzonitrile,Benzonitrile,100-47-0,,,C7H5N,Active
19455,Cyanobenzene,Valid,Benzonitrile,Benzonitrile,100-47-0,,,C7H5N,Active
80754,"2,6-DBN",Valid,"Benzonitrile, 2,6-dichloro-",Dichlobenil,1194-65-6,,,C7H3Cl2N,Active
80754,Dichlobenil,Valid,"Benzonitrile, 2,6-dichloro-",Dichlobenil,1194-65-6,,,C7H3Cl2N,Active
80754,"2,6-Dichlorobenzonitrile",Valid,"Benzonitrile, 2,6-dichloro-",Dichlobenil,1194-65-6,,,C7H3Cl2N,Active
18358,Benzenecarbonyl chloride,Valid,Benzoyl chloride,Benzoyl chloride,98-88-4,,,C7H5ClO,Active
18358,Benzoyl chloride,Valid,Benzoyl chloride,Benzoyl chloride,98-88-4,,,C7H5ClO,Active
155440,Beryllium chloride,Valid,Beryllium chloride (BeCl2),Beryllium chloride,7787-47-5,,,BeCl2,Active
155457,Beryllium fluoride,Valid,Beryllium fluoride (BeF2),Beryllium difluoride,7787-49-7,,,BeF2,Active
85878,Polychlorinated diphenyls,Valid,"1,1'-Biphenyl, chloro derivs.",Polychlorinated biphenyls,1336-36-3,,,Unspecified,Active
85878,Polychorinated biphenyls,Valid,"1,1'-Biphenyl, chloro derivs.",Polychlorinated biphenyls,1336-36-3,,,Unspecified,Active
85878,PCB,Valid,"1,1'-Biphenyl, chloro derivs.",Polychlorinated biphenyls,1336-36-3,,,Unspecified,Active
191775,Ammonium fluoroborate,Valid,"Borate(1-), tetrafluoro-, ammonium (1:1)",Ammonium fluoroborate,13826-83-0,,,BF4.H4N,Active
191775,Ammonium borofluoride,Valid,"Borate(1-), tetrafluoro-, ammonium (1:1)",Ammonium fluoroborate,13826-83-0,,,BF4.H4N,Active
191775,Ammonium fluoborate,Valid,"Borate(1-), tetrafluoro-, ammonium (1:1)",Ammonium fluoroborate,13826-83-0,,,BF4.H4N,Active
191437,Lead fluoborate,Valid,"Borate(1-), tetrafluoro-, lead(2+) (2:1)",Lead fluoroborate,13814-96-5,,,BF4.1/2Pb,Active
191437,Lead fluoroborate,Valid,"Borate(1-), tetrafluoro-, lead(2+) (2:1)",Lead fluoroborate,13814-96-5,,,BF4.1/2Pb,Active
85241,Zinc borate,Valid,"Boric acid, zinc salt",Zinc borate,1332-07-6,,,Unspecified,Active
7328,"2-Methyl-1,3-butadiene",Valid,"1,3-Butadiene, 2-methyl-",Isoprene,78-79-5,,,C5H8,Active
7328,Isoprene,Valid,"1,3-Butadiene, 2-methyl-",Isoprene,78-79-5,,,C5H8,Active
26088,1-Aminobutane,Valid,1-Butanamine,Butylamine,109-73-9,,,C4H11N,Active
192641,sec-Butylamine,Valid,2-Butanamine,sec-Butylamine,13952-84-6,,,C4H11N,Active
26088,Butylamine,Valid,1-Butanamine,Butylamine,109-73-9,,,C4H11N,Active
49528,sec-Butylamine,Valid,"2-Butanamine, (2S)-",(S)-2-Aminobutane,513-49-5,,,C4H11N,Active
112540,Tartaric acid ammonium salt,Valid,"Butanedioic acid, 2,3-dihydroxy- (2R,3R)-, ammonium salt (1:2)",Diammonium tartrate,3164-29-2,,,C4H6O6.2H3N,Active
112540,Ammonium tartrate,Valid,"Butanedioic acid, 2,3-dihydroxy- (2R,3R)-, ammonium salt (1:2)",Diammonium tartrate,3164-29-2,,,C4H6O6.2H3N,Active
194811,Tartaric acid ammonium salt,Valid,"Butanedioic acid, 2,3-dihydroxy- (2R,3R)-, ammonium salt (1:?)",Ammonium tartrate,14307-43-8,,,C4H6O6.xH3N,Active
194811,Ammonium tartrate,Valid,"Butanedioic acid, 2,3-dihydroxy- (2R,3R)-, ammonium salt (1:?)",Ammonium tartrate,14307-43-8,,,C4H6O6.xH3N,Active
70920,Copper tartrate,Valid,"Butanedioic acid, 2,3-dihydroxy- (2R,3R)-, copper(2+) salt (1:1)",Cupric tartrate,815-82-7,,,C4H6O6.Cu,Active
70920,Cupric tartrate,Valid,"Butanedioic acid, 2,3-dihydroxy- (2R,3R)-, copper(2+) salt (1:1)",Cupric tartrate,815-82-7,,,C4H6O6.Cu,Active
31922,Malathion,Valid,"Butanedioic acid, [(dimethoxyphosphinothioyl)thio]-, diethyl ester",Malathion,121-75-5,,,C10H19O6PS2,Active
31922,Phospothion,Valid,"Butanedioic acid, [(dimethoxyphosphinothioyl)thio]-, diethyl ester",Malathion,121-75-5,,,C10H19O6PS2,Active
24729,Ethylacetic acid,Valid,Butanoic acid,Butyric acid,107-92-6,,,C4H8O2,Active
24729,Butanoic acid,Valid,Butanoic acid,Butyric acid,107-92-6,,,C4H8O2,Active
24729,Butyric acid,Valid,Butanoic acid,Butyric acid,107-92-6,,,C4H8O2,Active
63412,tert-Amyl acetate,Valid,"2-Butanol, 2-methyl-, acetate",tert-Amyl acetate,625-16-1,,,C7H14O2,Active
33258,Pear oil,Inaccurate,"1-Butanol, 3-methyl-, 1-acetate",Isoamyl acetate,123-92-2,,,C7H14O2,Active
33258,iso-Amyl acetate,Valid,"1-Butanol, 3-methyl-, 1-acetate",Isoamyl acetate,123-92-2,,,C7H14O2,Active
33258,Banana oil,Inaccurate,"1-Butanol, 3-methyl-, 1-acetate",Isoamyl acetate,123-92-2,,,C7H14O2,Active
122135,Propylene aldehyde,Valid,2-Butenal,Crotonaldehyde,4170-30-3,,,C4H6O,Active
122135,Crotonaldehyde,Valid,2-Butenal,Crotonaldehyde,4170-30-3,,,C4H6O,Active
122135,2-Butenal,Valid,2-Butenal,Crotonaldehyde,4170-30-3,,,C4H6O,Active
26450,"trans-1,2-Ethylenedicarboxylic acid",Valid,2-Butenedioic acid (2E)-,Fumaric acid,110-17-8,,,C4H4O4,Active
26450,Fumaric acid,Valid,2-Butenedioic acid (2E)-,Fumaric acid,110-17-8,,,C4H4O4,Active
26450,trans-Butenedioic acid,Valid,2-Butenedioic acid (2E)-,Fumaric acid,110-17-8,,,C4H4O4,Active
26450,Allomaleic acid,Valid,2-Butenedioic acid (2E)-,Fumaric acid,110-17-8,,,C4H4O4,Active
26450,Boletic acid,Valid,2-Butenedioic acid (2E)-,Fumaric acid,110-17-8,,,C4H4O4,Active
26443,Toxilic acid,Valid,2-Butenedioic acid (2Z)-,Maleic acid,110-16-7,,,C4H4O4,Active
26443,cis-Butenedioic acid,Valid,2-Butenedioic acid (2Z)-,Maleic acid,110-16-7,,,C4H4O4,Active
26443,Maleic acid,Valid,2-Butenedioic acid (2Z)-,Maleic acid,110-16-7,,,C4H4O4,Active
26443,"cis-1,2-Ethylenedicarboxylic acid",Valid,2-Butenedioic acid (2Z)-,Maleic acid,110-16-7,,,C4H4O4,Active
155309,Phosdrin,Valid,"2-Butenoic acid, 3-[(dimethoxyphosphinyl)oxy]-, methyl ester",Mevinphos,7786-34-7,,,C7H13O6P,Active
155309,Mevinphos,Valid,"2-Butenoic acid, 3-[(dimethoxyphosphinyl)oxy]-, methyl ester",Mevinphos,7786-34-7,,,C7H13O6P,Active
173666,Paris green,Valid,C.I. Pigment Green 21,Cupric acetoarsenite,12002-03-8,,,Unspecified,Active
173666,Cupric acetoarsenite,Valid,C.I. Pigment Green 21,Cupric acetoarsenite,12002-03-8,,,Unspecified,Active
173666,Copper acetate arsenite,Valid,C.I. Pigment Green 21,Cupric acetoarsenite,12002-03-8,,,Unspecified,Active
173666,Copper acetoarsenite,Valid,C.I. Pigment Green 21,Cupric acetoarsenite,12002-03-8,,,Unspecified,Active
155846,Cadmium bromide,Valid,Cadmium bromide (CdBr2),Cadmium bromide,7789-42-6,,,Br2Cd,Active
168096,Cadmium chloride,Valid,Cadmium chloride (CdCl2),Cadmium dichloride,10108-64-2,,,CdCl2,Active
5397,Carbide,Ambiguous,Calcium carbide (Ca(C2)),Calcium carbide,75-20-7,,,C2Ca,Active
5397,Calcium carbide,Valid,Calcium carbide (Ca(C2)),Calcium carbide,75-20-7,,,C2Ca,Active
5397,Acetylenogen,Valid,Calcium carbide (Ca(C2)),Calcium carbide,75-20-7,,,C2Ca,Active
57059,Calcium cyanide,Valid,Calcium cyanide (Ca(CN)2),Calcium cyanide,592-01-8,,,C2CaN2,Active
82255,Calcium hydroxide,Valid,Calcium hydroxide (Ca(OH)2),Calcium hydroxide,1305-62-0,,,CaH2O2,Inactive
82263,Calcium oxide,Valid,Calcium oxide (CaO),Calcium oxide,1305-78-8,,,CaO,Inactive
78162,Ammonium carbamate,Valid,"Carbamic acid, ammonium salt (1:1)",Ammonium carbamate,1111-78-0,,,CH3NO2.H3N,Active
78162,Ammonium aminoformate,Valid,"Carbamic acid, ammonium salt (1:1)",Ammonium carbamate,1111-78-0,,,CH3NO2.H3N,Active
5348,Carbon disulfide,Valid,Carbon disulfide,Carbon disulfide,75-15-0,,,CS2,Active
5348,Dithiocarbonic anhydride,Valid,Carbon disulfide,Carbon disulfide,75-15-0,,,CS2,Active
5348,Carbon bisulfide,Valid,Carbon disulfide,Carbon disulfide,75-15-0,,,CS2,Active
76968,Ammonium hydrogen carbonate,Valid,"Carbonic acid, ammonium salt (1:1)",Ammonium bicarbonate,1066-33-7,,,CH2O3.H3N,Active
76968,Acid ammonium carbonate,Valid,"Carbonic acid, ammonium salt (1:1)",Ammonium bicarbonate,1066-33-7,,,CH2O3.H3N,Active
76968,Ammonium bicarbonate,Valid,"Carbonic acid, ammonium salt (1:1)",Ammonium bicarbonate,1066-33-7,,,CH2O3.H3N,Active
49106,Ammonium carbonate,Valid,"Carbonic acid, ammonium salt (1:2)",Ammonium carbonate,506-87-6,,,CH2O3.2H3N,Active
116202,Zinc carbonate,Valid,"Carbonic acid, zinc salt (1:1)",Zinc carbonate,3486-35-9,,,CH2O3.Zn,Active
5587,Phosgene,Valid,Carbonic dichloride,Phosgene,75-44-5,,,CCl2O,Active
5587,Chloroformyl chloride,Valid,Carbonic dichloride,Phosgene,75-44-5,,,CCl2O,Active
5587,Carbonyl chloride,Valid,Carbonic dichloride,Phosgene,75-44-5,,,CCl2O,Active
5587,Diphosgene,Inaccurate,Carbonic dichloride,Phosgene,75-44-5,,,CCl2O,Active
154328,Chlorine,Valid,Chlorine,Chlorine,7782-50-5,,,Cl2,Active
156380,Chlorosulfonic acid,Valid,Chlorosulfuric acid,Chlorosulfonic acid,7790-94-5,,,ClHO3S,Active
156380,Sulfuric chlorohydrin,Valid,Chlorosulfuric acid,Chlorosulfonic acid,7790-94-5,,,ClHO3S,Active
155663,Ammonium bichromate,Valid,"Chromic acid (H2Cr2O7), ammonium salt (1:2)",Ammonium dichromate(VI),7789-09-5,,,Cr2H2O7.2H3N,Active
153916,Potassium bichromate,Valid,"Chromic acid (H2Cr2O7), potassium salt (1:2)",Potassium dichromate,7778-50-9,,,Cr2H2O7.2K,Active
153916,Potassium dichromate,Valid,"Chromic acid (H2Cr2O7), potassium salt (1:2)",Potassium dichromate,7778-50-9,,,Cr2H2O7.2K,Active
172593,Sodium dichromate,Valid,"Chromic acid (H2Cr2O7), sodium salt (1:2)",Sodium dichromate,10588-01-9,,,Cr2H2O7.2Na,Active
172593,Sodium bichromate,Valid,"Chromic acid (H2Cr2O7), sodium salt (1:2)",Sodium dichromate,10588-01-9,,,Cr2H2O7.2Na,Active
153213,Chromic acid,Valid,Chromic acid (H2CrO4),Chromic(VI) acid,7738-94-5,,,CrH2O4,Active
155622,Ammonium chromate,Valid,"Chromic acid (H2CrO4), ammonium salt (1:2)",Ammonium chromate,7788-98-9,,,CrH2O4.2H3N,Active
190694,Yellow ultramarine,Valid,"Chromic acid (H2CrO4), calcium salt (1:1)",Calcium chromate,13765-19-0,,,Ca.CrH2O4,Active
190694,Calcium chromate,Valid,"Chromic acid (H2CrO4), calcium salt (1:1)",Calcium chromate,13765-19-0,,,Ca.CrH2O4,Active
190694,Calcium chrome yellow,Valid,"Chromic acid (H2CrO4), calcium salt (1:1)",Calcium chromate,13765-19-0,,,Ca.CrH2O4,Active
190694,Geblin,Unknown,"Chromic acid (H2CrO4), calcium salt (1:1)",Calcium chromate,13765-19-0,,,Ca.CrH2O4,Active
194803,Lithium chromate,Valid,"Chromic acid (H2CrO4), lithium salt (1:2)",Lithium chromate,14307-35-8,,,CrH2O4.2Li,Active
155630,Potassium chromate,Valid,"Chromic acid (H2CrO4), potassium salt (1:2)",Potassium chromate(VI),7789-00-6,,,CrH2O4.2K,Active
153775,Sodium chromate,Valid,"Chromic acid (H2CrO4), sodium salt (1:2)",Sodium chromate(VI),7775-11-3,,,CrH2O4.2Na,Active
155655,Strontium chromate,Valid,"Chromic acid (H2CrO4), strontium salt (1:1)",Strontium chromate,7789-06-2,,,CrH2O4.Sr,Active
167304,Chromous chloride,Valid,Chromium chloride (CrCl2),Chromium(II) chloride,10049-05-5,,,Cl2Cr,Active
85571,Chromium trioxide,Valid,Chromium oxide (CrO3),Chromium(VI) trioxide,1333-82-0,,,CrO3,
85571,Chromic anhydride,Valid,Chromium oxide (CrO3),Chromium(VI) trioxide,1333-82-0,,,CrO3,
155853,Cobalt bromide,Valid,Cobalt bromide (CoBr2),Cobalt bromide,7789-43-7,,,Br2Co,Active
155853,Cobaltous bromide,Valid,Cobalt bromide (CoBr2),Cobalt bromide,7789-43-7,,,Br2Co,Active
150508,Copper chloride,Valid,Copper chloride (CuCl2),Cupric chloride,7447-39-4,,,Cl2Cu,Active
150508,Cupric chloride,Valid,Copper chloride (CuCl2),Cupric chloride,7447-39-4,,,Cl2Cu,Active
170902,Ammoniated copper sulfate,Valid,"Copper(2+), tetraammine-, sulfate (1:1), monohydrate","Ammoniated cupric sulfate, monohydrate",10380-29-7,,,CuH12N4.H2O.O4S,Active
170902,"Cupric sulfate, ammoniated",Valid,"Copper(2+), tetraammine-, sulfate (1:1), monohydrate","Ammoniated cupric sulfate, monohydrate",10380-29-7,,,CuH12N4.H2O.O4S,Active
49072,Cyanogen chloride,Valid,Cyanogen chloride ((CN)Cl),Cyanogen chloride,506-77-4,,,CClN,Active
27003,Hexanaphthene,Valid,Cyclohexane,Cyclohexane,110-82-7,,,C6H12,Active
27003,Cyclohexane,Valid,Cyclohexane,Cyclohexane,110-82-7,,,C6H12,Active
27003,Hexahydrobenzene,Valid,Cyclohexane,Cyclohexane,110-82-7,,,C6H12,Active
27003,Hexamethylene,Valid,Cyclohexane,Cyclohexane,110-82-7,,,C6H12,Active
2923,.gamma.-Benzene hexachloride,Valid,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.alpha.,3.beta.,4.alpha.,5.alpha.,6.beta.)-",Lindane,58-89-9,,,C6H6Cl6,Active
2923,Lindane,Valid,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.alpha.,3.beta.,4.alpha.,5.alpha.,6.beta.)-",Lindane,58-89-9,,,C6H6Cl6,Active
2923,.gamma.-BHC,Valid,"Cyclohexane, 1,2,3,4,5,6-hexachloro-, (1.alpha.,2.alpha.,3.beta.,4.alpha.,5.alpha.,6.beta.)-",Lindane,58-89-9,,,C6H6Cl6,Active
18366,Cyclohexanecarboxylic acid,Valid,Cyclohexanecarboxylic acid,Cyclohexanecarboxylic acid,98-89-5,,,C7H12O2,Active
18366,Hexahydrobenzoic acid,Valid,Cyclohexanecarboxylic acid,Cyclohexanecarboxylic acid,98-89-5,,,C7H12O2,Active
6494,Perchlorocyclopentadiene,Valid,"1,3-Cyclopentadiene, 1,2,3,4,5,5-hexachloro-",Hexachlorocyclopentadiene,77-47-4,,,C5Cl6,Active
6494,Hexachlorocyclopentadiene,Valid,"1,3-Cyclopentadiene, 1,2,3,4,5,5-hexachloro-",Hexachlorocyclopentadiene,77-47-4,,,C5Cl6,Active
31617,Pyrethrin I,Valid,"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-, (1S)-2-methyl-4-oxo-3-(2Z)-2,4-pentadienyl-2-cyclopenten-1-yl ester, (1R,3R)-",Pyrethrin I,121-21-1,,,C21H28O3,Active
31633,Pyrethrin II,Valid,"Cyclopropanecarboxylic acid, 3-[(1E)-3-methoxy-2-methyl-3-oxo-1-propen-1-yl]-2,2-dimethyl-, (1S)-2-methyl-4-oxo-3-(2Z)-2,4-pentadien-1-yl-2-cyclopenten-1-yl ester, (1R,3R)-",Pyrethrin II,121-29-9,,,C22H28O5,Active
755330,"2,4-D esters",Unknown,"2,4-D esters -- CWA 311",,,,E755330,,Active
4887,Mendrin,Valid,"2,7:3,6-Dimethanonaphth[2,3-b]oxirene, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, (1aR,2R,2aR,3R,6S,6aS,7S,7aS)-rel-",Endrin,72-20-8,,,C12H8Cl6O,Active
4887,Endrin,Valid,"2,7:3,6-Dimethanonaphth[2,3-b]oxirene, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, (1aR,2R,2aR,3R,6S,6aS,7S,7aS)-rel-",Endrin,72-20-8,,,C12H8Cl6O,Active
4887,Compound 269,Valid,"2,7:3,6-Dimethanonaphth[2,3-b]oxirene, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, (1aR,2R,2aR,3R,6S,6aS,7S,7aS)-rel-",Endrin,72-20-8,,,C12H8Cl6O,Active
3426,Alvit,Valid,"2,7:3,6-Dimethanonaphth[2,3-b]oxirene, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, (1aR,2R,2aS,3S,6R,6aR,7S,7aS)-rel-",Dieldrin,60-57-1,,,C12H8Cl6O,Active
3426,Dieldrin,Valid,"2,7:3,6-Dimethanonaphth[2,3-b]oxirene, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, (1aR,2R,2aS,3S,6R,6aR,7S,7aS)-rel-",Dieldrin,60-57-1,,,C12H8Cl6O,Active
42002,Octalene,Trade Name,"1,4:5,8-Dimethanonaphthalene, 1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8a-hexahydro-, (1.alpha.,4.alpha.,4a.beta.,5.alpha.,8.alpha.,8a.beta.)-",Aldrin,309-00-2,,,C12H8Cl6,Active
42002,Aldrin,Valid,"1,4:5,8-Dimethanonaphthalene, 1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8a-hexahydro-, (1.alpha.,4.alpha.,4a.beta.,5.alpha.,8.alpha.,8a.beta.)-",Aldrin,309-00-2,,,C12H8Cl6,Active
42002,HHDN,Valid,"1,4:5,8-Dimethanonaphthalene, 1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8a-hexahydro-, (1.alpha.,4.alpha.,4a.beta.,5.alpha.,8.alpha.,8a.beta.)-",Aldrin,309-00-2,,,C12H8Cl6,Active
24422,TEPP,Valid,"Diphosphoric acid, tetraethyl ester",Tetraethyl pyrophosphate,107-49-3,,,C8H20O7P2,Active
24422,Tetraethyl pyrophosphate,Valid,"Diphosphoric acid, tetraethyl ester",Tetraethyl pyrophosphate,107-49-3,,,C8H20O7P2,Active
107094,Diquat,Valid,"Dipyrido[1,2-a:2',1'-c]pyrazinediium, 6,7-dihydro-",Diquat,2764-72-9,,,C12H12N2,Active
10181,Diquat,Valid,"Dipyrido[1,2-a:2',1'-c]pyrazinediium, 6,7-dihydro-, dibromide",Diquat dibromide,85-00-7,,,C12H12N2.2Br,Active
10181,Diquat dibromide,Valid,"Dipyrido[1,2-a:2',1'-c]pyrazinediium, 6,7-dihydro-, dibromide",Diquat dibromide,85-00-7,,,C12H12N2.2Br,Active
10181,Aquacide,Trade Name,"Dipyrido[1,2-a:2',1'-c]pyrazinediium, 6,7-dihydro-, dibromide",Diquat dibromide,85-00-7,,,C12H12N2.2Br,Active
10181,Dextrone,Trade Name,"Dipyrido[1,2-a:2',1'-c]pyrazinediium, 6,7-dihydro-, dibromide",Diquat dibromide,85-00-7,,,C12H12N2.2Br,Active
10181,Reglone,Trade Name,"Dipyrido[1,2-a:2',1'-c]pyrazinediium, 6,7-dihydro-, dibromide",Diquat dibromide,85-00-7,,,C12H12N2.2Br,Active
154187,Zinc hydrosulfite,Valid,"Dithionous acid, zinc salt (1:1)",Zinc hydrosulfite,7779-86-4,,,H2O4S2.Zn,Active
5264,Aminoethane,Valid,Ethanamine,Ethylamine,75-04-7,,,C2H7N,Active
5264,Ethylamine,Valid,Ethanamine,Ethylamine,75-04-7,,,C2H7N,Active
5264,Monoethylamine,Valid,Ethanamine,Ethylamine,75-04-7,,,C2H7N,Active
31708,Triethylamine,Valid,"Ethanamine, N,N-diethyl-",Triethylamine,121-44-8,,,C6H15N,Active
26245,Diethylamine,Valid,"Ethanamine, N-ethyl-",Diethylamine,109-89-7,,,C4H11N,Active
23986,Acetylene dibromide,Valid,"Ethane, 1,2-dibromo-",Ethylene dibromide,106-93-4,,,C2H4Br2,Active
23986,sym-Dibromoethylene,Valid,"Ethane, 1,2-dibromo-",Ethylene dibromide,106-93-4,,,C2H4Br2,Active
23986,Ethylene dibromide,Valid,"Ethane, 1,2-dibromo-",Ethylene dibromide,106-93-4,,,C2H4Br2,Active
23986,"1,2-Dibromoethane",Valid,"Ethane, 1,2-dibromo-",Ethylene dibromide,106-93-4,,,C2H4Br2,Active
24117,sym-Bichloroethane,Valid,"Ethane, 1,2-dichloro-","1,2-Dichloroethane",107-06-2,,,C2H4Cl2,Active
24117,Ethylene dichloride,Valid,"Ethane, 1,2-dichloro-","1,2-Dichloroethane",107-06-2,,,C2H4Cl2,Active
24117,"1,2-Dichloroethane",Valid,"Ethane, 1,2-dichloro-","1,2-Dichloroethane",107-06-2,,,C2H4Cl2,Active
24208,"1,2-Diaminoethane",Valid,"1,2-Ethanediamine",Ethylenediamine,107-15-3,,,C2H8N2,Active
24208,Ethylenediamine,Valid,"1,2-Ethanediamine",Ethylenediamine,107-15-3,,,C2H8N2,Active
304329,Ferric ammonium oxalate,Valid,"Ethanedioic acid, ammonium iron salt (1:?:?)",Iron ammonium oxalate,55488-87-4,,,C2H2O4.xFe.xH3N,Active
304329,Ammonium ferric oxalate,Valid,"Ethanedioic acid, ammonium iron salt (1:?:?)",Iron ammonium oxalate,55488-87-4,,,C2H2O4.xFe.xH3N,Active
109264,Ferric ammonium oxalate,Valid,"Ethanedioic acid, ammonium iron(3+) salt (3:3:1)",Ferric ammonium oxalate (1:3:3),2944-67-4,,,C2H2O4.1/3Fe.H3N,Active
194324,Ammonium oxalate,Valid,"Ethanedioic acid, ammonium salt (1:?)",Ammonium oxalate,14258-49-2,,,C2H2O4.xH3N,Active
136804,Ammonium oxalate,Valid,"Ethanedioic acid, diammonium salt, monohydrate",Diammonium oxalate monohydrate,6009-70-7,,,C2H2O4.2H3N.H2O,Active
136507,Ammonium oxalate,Valid,"Ethanedioic acid, monoammonium salt, monohydrate",Ammonium bioxalate monohydrate,5972-73-6,,,C2H2O4.H3N.H2O,Active
7526,Ethylene trichloride,Valid,"Ethene, 1,1,2-trichloro-",Trichloroethylene,79-01-6,,,C2HCl3,Active
7526,Trichlorethylene,Valid,"Ethene, 1,1,2-trichloro-",Trichloroethylene,79-01-6,,,C2HCl3,Active
5538,"1,1-Dichloroethene",Valid,"Ethene, 1,1-dichloro-","1,1-Dichloroethylene",75-35-4,,,C2H2Cl2,Active
5538,"1,1-Dichlorethylene",Misspelled,"Ethene, 1,1-dichloro-","1,1-Dichloroethylene",75-35-4,,,C2H2Cl2,Active
5538,Vinylidene chloride,Valid,"Ethene, 1,1-dichloro-","1,1-Dichloroethylene",75-35-4,,,C2H2Cl2,Active
1008,Methyl aldehyde,Valid,Formaldehyde,Formaldehyde,50-00-0,,,CH2O,Active
1008,Formaldehyde,Valid,Formaldehyde,Formaldehyde,50-00-0,,,CH2O,Active
1008,Formalin,Valid,Formaldehyde,Formaldehyde,50-00-0,,,CH2O,Active
1008,Methanal,Valid,Formaldehyde,Formaldehyde,50-00-0,,,CH2O,Active
3830,Methanoic acid,Valid,Formic acid,Formic acid,64-18-6,,,CH2O2,Active
3830,Formic acid,Valid,Formic acid,Formic acid,64-18-6,,,CH2O2,Active
52753,Cobalt formate,Valid,"Formic acid, cobalt(2+) salt (2:1)",Cobalt(II) formate,544-18-3,,,CH2O2.1/2Co,Active
52753,Coabaltous formate,Valid,"Formic acid, cobalt(2+) salt (2:1)",Cobalt(II) formate,544-18-3,,,CH2O2.1/2Co,Active
54312,Zinc formate,Valid,"Formic acid, zinc salt (2:1)",Zinc formate,557-41-5,,,CH2O2.1/2Zn,Active
17699,Pyromucic aldehyde,Valid,2-Furancarboxaldehyde,Furfural,98-01-1,,,C5H4O2,Active
17699,2-Furaldehyde,Valid,2-Furancarboxaldehyde,Furfural,98-01-1,,,C5H4O2,Active
17699,Furfural,Valid,2-Furancarboxaldehyde,Furfural,98-01-1,,,C5H4O2,Active
25015,Toxilic anhydride,Valid,"2,5-Furandione",Maleic anhydride,108-31-6,,,C4H2O3,Active
25015,"2,5-Furandione",Valid,"2,5-Furandione",Maleic anhydride,108-31-6,,,C4H2O3,Active
25015,Maleic anhydride,Valid,"2,5-Furandione",Maleic anhydride,108-31-6,,,C4H2O3,Active
25015,cis-Butenedioic anhydride,Valid,"2,5-Furandione",Maleic anhydride,108-31-6,,,C4H2O3,Active
3228,Ethylenediaminetetraacetic acid,Valid,"Glycine, N,N'-1,2-ethanediylbis[N-(carboxymethyl)-",Ethylenediaminetetraacetic acid,60-00-4,,,C10H16N2O8,Active
3228,Edetic acid,Valid,"Glycine, N,N'-1,2-ethanediylbis[N-(carboxymethyl)-",Ethylenediaminetetraacetic acid,60-00-4,,,C10H16N2O8,Active
3228,EDTA,Valid,"Glycine, N,N'-1,2-ethanediylbis[N-(carboxymethyl)-",Ethylenediaminetetraacetic acid,60-00-4,,,C10H16N2O8,Active
3228,(Ethylenedinitrilo)tetraacetic acid,Valid,"Glycine, N,N'-1,2-ethanediylbis[N-(carboxymethyl)-",Ethylenediaminetetraacetic acid,60-00-4,,,C10H16N2O8,Active
3228,Havidote,Trade Name,"Glycine, N,N'-1,2-ethanediylbis[N-(carboxymethyl)-",Ethylenediaminetetraacetic acid,60-00-4,,,C10H16N2O8,Active
33340,Adipic acid,Valid,Hexanedioic acid,Adipic acid,124-04-9,,,C6H10O4,Active
33340,Hexanedioic acid,Valid,Hexanedioic acid,Adipic acid,124-04-9,,,C6H10O4,Active
152231,Muriatic acid,Valid,Hydrochloric acid,Hydrochloric acid,7647-01-0,,,ClH,Active
152231,Hydrochloric acid,Valid,Hydrochloric acid,Hydrochloric acid,7647-01-0,,,ClH,Active
152231,Hydrogen chloride,Valid,Hydrochloric acid,Hydrochloric acid,7647-01-0,,,ClH,Active
5140,Hydrogen cyanide,Valid,Hydrocyanic acid,Hydrogen cyanide,74-90-8,,,CHN,Active
5140,Hydrocyanic acid,Valid,Hydrocyanic acid,Hydrogen cyanide,74-90-8,,,CHN,Active
152371,Hydrofluoric acid,Valid,Hydrofluoric acid,Hydrofluoric acid,7664-39-3,,,FH,Active
152371,Fluohydric acid,Misspelled,Hydrofluoric acid,Hydrofluoric acid,7664-39-3,,,FH,Active
